"State Agency Template
0030,ADAMS COUNTY        14,42.82%,X,,,, 11 ," 7,315 ",,,,,,
0040,School District 27J,15.72%,,,,,," 16,902 ",,,,,,
0050,BENNETT             29J,13.71%,,,,,," 1,035 ",,,,,,
0060,STRASBURG           31J,9.20%,,,,,, 989 ,,,,,,
0070,WESTMINSTER PUBLIC SCHOOLS,42.69%,X,,,, 18 ," 9,268 ",,,,,,
0100,ALAMOSA             RE-11J,45.12%,X,,X,, 4 ," 2,287 ", 4 ," 2,287 ",A,,,
0110,SANGRE DE CRISTO    RE-22J,39.44%,,X,,, 2 , 289 ,,,,,,
0120,ENGLEWOOD           1,32.04%,,X,,, 9 ," 2,812 ",,,,,,
0123,SHERIDAN            2,57.88%,X,,,, 5 ," 1,496 ",,,,,,
0130,CHERRY CREEK        5,13.32%,,,,,," 46,015 ",,,,,,
0140,LITTLETON           6,19.67%,,,,,," 15,276 ",,,,,,
0170,DEER TRAIL          26J,56.71%,X,,,, 2 , 201 ,,,,,,
0180,ADAMS-ARAPAHOE      28J,38.79%,,X,X,, 57 ," 38,969 ", 4 ," 2,071 ",,S,,
0190,BYERS               32J,22.73%,,,,,, 541 ,,,,,,
0220,ARCHULETA COUNTY    50 JT,25.94%,,,,,," 1,557 ",,,,,,
0230,WALSH               RE-1,23.63%,,,,,, 165 ,,,,,,
0240,PRITCHETT           RE-3,68.29%,X,,,, 3 , 41 ,,,,,,
0250,SPRINGFIELD         RE-4,40.00%,X,,,, 2 , 270 ,,,,,,
0260,VILAS               RE-5,26.66%,,,,,, 45 ,,,,,,
0270,CAMPO               RE-6,25.00%,,,,,, 40 ,,,,,,
0290,LAS ANIMAS          RE-1,53.90%,X,,,, 3 , 486 ,,,,,,
0310,MC CLAVE            RE-2,16.47%,,,,,, 267 ,,,,,,
0470,ST VRAIN VALLEY     RE 1J,16.22%,,,,,," 30,453 ",,,,,,
0480,BOULDER VALLEY      RE 2,10.64%,,,,,," 29,353 ",,,,,,
0490,BUENA VISTA         R-31,15.10%,,,,,," 1,013 ",,,,,,
0500,SALIDA              R-32,20.03%,,,,,," 1,163 ",,,,,,
0510,KIT CARSON          R-1,22.41%,,,,,, 116 ,,,,,,
0520,CHEYENNE COUNTY     RE-5,18.71%,,,,,, 187 ,,,,,,
0540,CLEAR CREEK         RE-1,14.52%,,,,,, 709 ,,,,,,
0550,NORTH CONEJOS       RE-1J,49.38%,X,,,, 3 , 982 ,,,,,,
0560,SANFORD             6J,27.57%,,,,, 3 , 359 ,,,,,,
0580,SOUTH CONEJOS       RE-10,55.71%,X,,X,, 3 , 210 , 3 , 210 ,A,,,
0640,CENTENNIAL          R-1,59.25%,X,,X,, 1 , 216 , 1 , 216 ,A,,,
0740,SIERRA GRANDE       R-30,59.68%,X,,X,, 1 , 253 , 1 , 253 ,A,,,
0770,CROWLEY COUNTY      RE-1-J,50.33%,X,,X,, 3 , 443 , 3 , 443 ,A,,,
0860,CUSTER COUNTY       C-1,23.26%,,,,,, 374 ,,,,,,
0870,DELTA COUNTY        50(J),33.20%,,X,,, 14 ," 4,433 ",,,,,,
0880,DENVER COUNTY       1,27.96%,,,,,," 90,081 ",,,,,,
0890,DOLORES COUNTY      RE NO.2,6.02%,,,,,, 282 ,,,,,,
0900,DOUGLAS COUNTY      RE 1,4.22%,,,,,," 41,059 ",,,,,,
0910,EAGLE COUNTY        RE 50,9.86%,,,,,," 6,131 ",,,,,,
0920,ELIZABETH           C-1,8.53%,,,,,," 2,319 ",,,,,,
0930,KIOWA               C-2,18.65%,,,,,, 252 ,,,,,,
0940,BIG SANDY           100J,26.55%,,,,,, 305 ,,,,,,
0950,ELBERT              200,13.65%,,,,,, 205 ,,,,,,
0960,AGATE               300,40.00%,X,,X,, 1 , 5 , 1 , 5 ,A,,,
0970,CALHAN RJ-1,28.89%,,,,,, 436 ,,,,,,
0980,HARRISON            2,46.58%,X,,X,, 24 ," 10,901 ", 20 ," 9,051 ",,S,,
0990,WIDEFIELD           3,27.02%,,,,,," 8,848 ",,,,,,
1000,FOUNTAIN            8,17.45%,,,,,," 7,733 ",,,,,,
1010,COLORADO SPRINGS    11,35.05%,,X,,, 62 ," 30,188 ",,,,,,
1020,CHEYENNE MOUNTAIN   12,8.15%,,,,,," 3,754 ",,,,,,
1030,MANITOU SPRINGS     14,23.78%,,,,,," 1,463 ",,,,,,
1040,ACADEMY             20,7.21%,,,,,," 23,189 ",,,,,,
1050,ELLICOTT            22,31.92%,,X,,, 3 ," 1,021 ",,,,,,
1060,PEYTON              23 JT,12.65%,,,,,, 640 ,,,,,,
1070,HANOVER             28,42.01%,X,,,, 2 , 288 ,,,,,,
1080,LEWIS-PALMER        38,5.61%,,,,,," 3,493 ",,,,,,
1110,FALCON              49,28.64%,,,,,," 15,006 ",,,,,,
1120,EDISON              54 JT,26.15%,,,,,, 130 ,,,,,,
1130,MIAMI/YODER         60 JT,46.97%,X,,X,, 2 , 298 , 2 , 298 ,A,,,
1140,CANON CITY          RE-1,33.37%,,X,,, 8 ," 3,601 ",,,,,,
1150,FREMONT            RE-2,35.06%,,X,,, 4 ," 1,329 ",,,,,,
1160,COTOPAXI            RE-3,18.62%,,,,,, 204 ,,,,,,
1180,ROARING FORK        RE-1,11.04%,,,,,," 5,588 ",,,,,,
1195,GARFIELD RE-2,19.08%,,,,,," 4,807 ",,,,,,
1220,GARFIELD            16,31.95%,,X,,, 4 ," 1,161 ",,,,,,
1330,GILPIN COUNTY       RE-1,13.27%,,,,,, 452 ,,,,,,
1340,WEST GRAND          1-JT.,34.59%,,X,,, 2 , 477 ,,,,,,
1350,EAST GRAND          2,8.67%,,,,,," 1,268 ",,,,,,
1360,GUNNISON WATERSHED  RE1J,14.64%,,,,,," 2,028 ",,,,,,
1390,HUERFANO            RE-1,58.75%,X,,X,, 3 , 548 , 3 , 548 ,A,,,
1400,LA VETA RE-2,50.70%,X,,,, 2 , 213 ,,,,,,
1410,NORTH PARK          R-1,22.94%,,,,,, 170 ,,,,,,
1420,JEFFERSON COUNTY    R-1,14.27%,,,,,," 78,712 ",,,,,,
1430,EADS                RE-1,23.39%,,,,,, 171 ,,,,,,
1440,KIOWA COUNTY        RE-2,32.81%,,X,,, 2 , 64 ,,,,,,
1450,ARRIBA-FLAGLER      C-20,23.07%,,,,,, 195 ,,,,,,
1460,HI-PLAINS           R-23,25.00%,,,,,, 104 ,,,,,,
1480,STRATTON            R-4,13.24%,,,,,, 219 ,,,,,,
1490,BETHUNE             R-5,37.50%,,X,,,1 , 112 ,,,,,,
1500,BURLINGTON          RE-6J,27.14%,,,,,, 781 ,,,,,,
1510,LAKE COUNTY         R-1,18.83%,,,,,, 913 ,,,,,,
1520,DURANGO             9-R,18.48%,,,,,," 4,787 ",,,,,,
1530,BAYFIELD            10 JT-R,11.45%,,,,,," 1,318 ",,,,,,
1540,IGNACIO             11 JT,25.38%,,,,,, 780 ,,,,,,
1550,POUDRE              R-1,17.83%,,,,,," 27,126 ",,,,,,
1560,THOMPSON            R-2J,21.27%,,,,,," 15,430 ",,,,,,
1570,ESTES PARK R-3 SCHOOL DISTRICT,15.36%,,,,,," 1,152 ",,,,,,
1580,TRINIDAD            1,49.06%,X,,X,,4 ," 1,019 ", 2 , 495 ,,S,,
1590,PRIMERO REORGANIZED 2,31.79%,,X,,,2 , 195 ,,,,,,
1600,HOEHNE REORGANIZED  3,19.48%,,,,,, 349 ,,,,,,
1620,AGUILAR REORGANIZED 6,45.96%,X,,,,2 , 124 ,,,,,,
1750,BRANSON REORGANIZED 82,25.31%,,,,,, 79 ,,,,,,
1760,KIM REORGANIZED     88,14.28%,,,,,, 56 ,,,,,,
1780,GENOA-HUGO          C113,20.85%,,,,,, 187 ,,,,,,
1790,LIMON               RE-4J,29.13%,,,,,, 484 ,,,,,,
1810,KARVAL              RE-23,13.04%,,,,,, 46 ,,,,,,
1828,VALLEY              RE-1,26.20%,,,,,," 2,282 ",,,,,,
1850,FRENCHMAN           RE-3,17.05%,,,,,, 170 ,,,,,,
1860,BUFFALO             RE-4,16.89%,,,,,, 296 ,,,,,,
1870,PEETZ PLATEAU       RE-5,8.69%,,,,,, 161 ,,,,,,
1980,DE BEQUE            49JT,29.28%,,,,,, 181 ,,,,,,
1990,PLATEAU VALLEY      50,24.75%,,,,,, 307 ,,,,,,
2000,MESA COUNTY VALLEY  51,32.08%,,X,,,39 ," 20,880 ",,,,,,
2010,CREEDE SCHOOL DISTRICT,23.37%,,,,,, 77 ,,,,,,
2020,MOFFAT COUNTY       RE:NO 1,24.15%,,,,,," 2,132 ",,,,,,
2035,MONTEZUMA-CORTEZ    RE-1,40.74%,X,,,,3 ," 2,756 ",,,,,,
2055,DOLORES             RE-4A,26.85%,,,,,, 689 ,,,,,,
2070,MANCOS RE-6,30.12%,,X,,,5 , 498 ,,,,,,
2180,MONTROSE COUNTY     RE-1J,25.84%,,,,,," 6,055 ",,,,,,
2190,WEST END            RE-2,28.23%,,,,,, 294 ,,,,,,
2395,BRUSH               RE-2(J),29.34%,,,,,," 1,479 ",,,,,,
2405,FORT MORGAN         RE-3,32.11%,,X,,, 8 ," 3,307 ",,,,,,
2505,WELDON VALLEY       RE-20(J),48.26%,X,,,, 2 , 230 ,,,,,,
2515,WIGGINS             RE-50(J),15.23%,,,,,, 584 ,,,,,,
2520,EAST OTERO          R-1,54.94%,X,,X,, 3 ," 1,376 ", 2 , 790 ,,S,,
2530,ROCKY FORD          R-2,53.73%,X,,X,, 3 , 869 , 2 , 301 ,,S,,
2535,MANZANOLA           3J,52.27%,X,,,, 2 , 132 ,,,,,,
2540,FOWLER              R-4J,28.67%,,,,,, 401 ,,,,,,
2560,CHERAW              31,27.83%,,,,,, 212 ,,,,,,
2570,SWINK               33,20.76%,,,,,, 366 ,,,,,,
2580,OURAY               R-1,15.30%,,,,,, 183 ,,,,,,
2590,RIDGWAY             R-2,11.72%,,,,,, 324 ,,,,,,
2600,PLATTE CANYON       1,16.88%,,,,,, 989 ,,,,,,
2610,PARK COUNTY         RE-2,45.38%,X,,,, 4 , 650 ,,,,,,
2620,HOLYOKE             RE-1J,18.73%,,,,,, 571 ,,,,,,
2630,HAXTUN              RE-2J,6.47%,,,,,, 340 ,,,,,,
2650,GRANADA             RE-1,39.80%,,X,,, 2 , 206 ,,,,,,
2660,LAMAR               RE-2,42.13%,X,,,, 5 ," 1,443 ",,,,,,
2670,HOLLY               RE-3,28.75%,,,,,, 320 ,,,,,,
2680,WILEY               RE-13 JT,27.16%,,,,,, 254 ,,,,,,
2690,PUEBLO CITY         60,55.26%,X,,X,, 32 ," 17,231 ", 32 ," 17,231 ",A,,,
2700,PUEBLO COUNTY RURAL 70,27.32%,,,,,," 9,200 ",,,,,,
2710,MEEKER              RE1,23.49%,,,,,, 732 ,,,,,,
2720,RANGELY             RE-4,17.42%,,,,,, 528 ,,,,,,
2730,DEL NORTE           C-7,59.81%,X,,,, 3 , 423 ,,,,,,
2740,MONTE VISTA         C-8,44.88%,X,,,, 4 ," 1,045 ",,,,,,
2750,SARGENT             RE-33J,35.48%,,X,,, 3 , 372 ,,,,,,
2760,HAYDEN              RE-1,16.51%,,,,,, 442 ,,,,,,
2770,STEAMBOAT SPRINGS   RE-2,16.97%,,,,,," 2,416 ",,,,,,
2780,SOUTH ROUTT         RE 3,19.78%,,,,,, 374 ,,,,,,
2790,MOUNTAIN VALLEY     RE 1,83.82%,X,,X,, 3 , 136 , 3 , 136 ,A,,,
2800,MOFFAT              2,45.45%,X,,X,, 1 , 110 , 1 , 110 ,A,,,
2810,CENTER              26 JT,58.70%,X,,X,, 5 , 666 , 6 , 666 ,FALSE,FALSE,,
2820,SILVERTON           1,14.92%,,,,,, 67 ,,,,,,
2830,TELLURIDE           R-1,9.33%,,,,,, 911 ,,,,,,
2840,NORWOOD             R-2J,24.39%,,,,,,,,,,,,
2862,JULESBURG           RE-1,26.33%,,,,,, 243 ,,,,,,
2865,REVERE SCHOOL DISTRICT,26.44%,,,,,, 121 ,,,,,,
3000,SUMMIT              RE-1,10.48%,,,,,," 3,547 ",,,,,,
3010,CRIPPLE CREEK-VICTOR RE-1,48.39%,X,,,, 2 , 343 ,,,,,,
3020,WOODLAND PARK       RE-2,18.64%,,,,,," 2,505 ",,,,,,
3030,AKRON               R-1,31.49%,,X,,, 2 , 381 ,,,,,,
3040,ARICKAREE           R-2,27.00%,,,,,, 100 ,,,,,,
3050,OTIS                R-3,22.63%,,,,,, 243 ,,,,,,
3060,LONE STAR           101,14.28%,,,,,, 112 ,,,,,,
3070,WOODLIN             R-104,26.80%,,,,,, 97 ,,,,,,
3080,WELD COUNTY SCHOOL DISTRICT RE-1,28.97%,,,,,," 1,950 ",,,,,,
3085,EATON               RE-2,14.86%,,,,,," 1,870 ",,,,,,
3090,WELD COUNTY SCHOOL DISTRICT RE-3J,19.11%,,,,,," 2,192 ",,,,,,
3100,WINDSOR             RE-4,9.79%,,,,,," 4,992 ",,,,,,
3110,WELD COUNTY SCHOOL DISTRICT RE-5J,12.31%,,,,,," 3,688 ",,,,,,
3120,GREELEY             6,32.28%,,X,,, 30 ," 21,308 ",,,,,,
3130,PLATTE VALLEY       RE-7,21.62%,,,,,," 1,179 ",,,,,,
3140,WELD COUNTY RE-8,27.13%,,,,,," 2,362 ",,,,,,
3145,WELD RE-9,26.17%,,,,,, 852 ,,,,,,
3146,BRIGGSDALE          RE-10,24.15%,,,,,, 178 ,,,,,,
3147,PRAIRIE             RE-11,8.79%,,,,,, 216 ,,,,,,
3148,PAWNEE              RE-12,27.50%,,,,,, 80 ,,,,,,
3200,YUMA                1,35.83%,,X,,, 4 , 798 ,,,,,,
3210,WRAY SCHOOL DISTRICT RD-2,24.44%,,,,,, 675 ,,,,,,
3220,IDALIA SCHOOL DISTRICT RJ-3,17.64%,,,,,, 221 ,,,,,,
3230,LIBERTY             J-4,35.06%,,X,,, 1 , 77 ,,,,,,
8006,PEAK TO PEAK CHARTER SFA,0.41%,,,,,," 1,444 ",,,,,,
8008,Hope Online,47.37%,X,,,, 3 ," 2,248 ",,,,,,
8010,PINNACLE CHARTER,19.25%,,,,,," 8,585 ",,,,,,
8042,Charter Choice,25.68%,,,X,, 17 ," 7,292 ", 1 , 118 ,,S,,
8605,COLO SCHOOL F/T DEAF AND THE BLIND,31.10%,,X,,, 1 , 209 ,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
